model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_age,price_per_mile
x1,2017,20375,semi-auto,28005,diesel,125,57.6,2.0,9,0.7275486520264238
4 series,2019,23450,semi-auto,11,diesel,145,65.7,2.0,7,2131.818181818182
5 series,2019,35790,semi-auto,12,diesel,145,53.3,3.0,7,2982.5
x5,2020,48490,semi-auto,5656,diesel,145,37.7,3.0,6,8.573196605374823
1 series,2017,20975,semi-auto,11932,petrol,145,39.8,3.0,9,1.757877975192759
3 series,2019,31440,semi-auto,4675,petrol,145,40.9,2.0,7,6.725133689839573
3 series,2019,23975,semi-auto,5749,petrol,145,47.9,2.0,7,4.170290485301791
x1,2019,24775,manual,6786,petrol,145,51.4,1.5,7,3.6508989095195994
x3,2019,32975,semi-auto,2715,diesel,145,54.3,2.0,7,12.14548802946593
5 series,2020,26990,semi-auto,11,petrol,145,52.3,2.0,6,2453.6363636363635
1 series,2018,16275,manual,12879,petrol,145,53.3,1.5,8,1.2636850687165153
x2,2019,27275,semi-auto,5177,diesel,145,48.7,2.0,7,5.268495267529457
3 series,2019,24775,manual,3368,diesel,145,64.2,2.0,7,7.355997624703088
1 series,2015,9730,manual,26845,diesel,0,78.5,1.5,11,0.3624511082138201
x1,2016,17410,automatic,32123,diesel,125,57.6,2.0,10,0.5419792671917317
x1,2016,17207,automatic,42761,diesel,145,55.4,2.0,10,0.40239938261499963
3 series,2014,11000,semi-auto,69382,diesel,125,57.6,3.0,12,0.15854256147127496
5 series,2013,10037,automatic,77262,diesel,125,60.1,2.0,13,0.1299086226087857
2 series,2018,16419,manual,11198,petrol,145,42.2,1.5,8,1.4662439721378817
3 series,2019,24775,manual,3758,diesel,145,64.2,2.0,7,6.592602448110697
3 series,2019,23990,manual,4026,diesel,145,64.2,2.0,7,5.958768007948335
3 series,2019,31390,semi-auto,3097,petrol,145,41.5,2.0,7,10.135615111398128
x5,2019,44790,semi-auto,10776,diesel,145,37.7,3.0,7,4.156458797327394
1 series,2019,28975,semi-auto,7110,petrol,150,34.5,2.0,7,4.075246132208157
3 series,2019,25975,semi-auto,3119,petrol,150,42.2,2.0,7,8.327989740301378
x3,2019,38975,semi-auto,6436,diesel,150,36.7,3.0,7,6.055779987569919
3 series,2019,27975,semi-auto,8856,diesel,150,52.3,2.0,7,3.1588753387533877
x4,2019,35480,semi-auto,10395,diesel,150,42.8,2.0,7,3.4131794131794133
2 series,2020,23990,semi-auto,18,diesel,150,49.6,2.0,6,1332.7777777777778
2 series,2020,21890,semi-auto,12,petrol,150,50.4,1.5,6,1824.1666666666667
4 series,2020,25980,semi-auto,14,diesel,145,65.7,2.0,6,1855.7142857142858
3 series,2013,9200,automatic,83944,diesel,125,60.1,2.0,13,0.10959687410654723
3 series,2019,31275,semi-auto,5494,petrol,145,41.5,2.0,7,5.692573716781944
3 series,2019,24275,semi-auto,10361,diesel,145,62.8,2.0,7,2.342920567512788
4 series,2019,24775,semi-auto,10535,diesel,145,65.7,2.0,7,2.351684859990508
5 series,2019,26275,semi-auto,7585,diesel,145,65.7,2.0,7,3.4640738299274885
5 series,2019,33775,semi-auto,12900,diesel,145,53.3,3.0,7,2.618217054263566
5 series,2019,28975,semi-auto,2013,diesel,145,60.1,2.0,7,14.393939393939394
x1,2019,28790,semi-auto,3911,petrol,145,38.7,2.0,7,7.361288672973664
4 series,2020,25775,semi-auto,12,diesel,150,65.7,2.0,6,2147.9166666666665
1 series,2014,10975,manual,38000,diesel,30,65.7,2.0,12,0.2888157894736842
3 series,2019,25950,semi-auto,3977,petrol,145,43.5,2.0,7,6.525018858436007
5 series,2019,26350,semi-auto,8324,diesel,145,65.7,2.0,7,3.1655454108601635
3 series,2020,30990,semi-auto,3656,diesel,150,50.4,2.0,6,8.476477024070022
3 series,2020,27990,semi-auto,6565,petrol,150,42.2,2.0,6,4.2635186595582635
x2,2020,28490,semi-auto,6565,diesel,150,58.9,2.0,6,4.33968012185834
1 series,2020,25450,semi-auto,6565,diesel,150,51.4,2.0,6,3.8766184310738767
x1,2020,25490,semi-auto,5656,diesel,150,47.9,2.0,6,4.506718528995757
x2,2020,23990,manual,15,diesel,150,55.4,2.0,6,1599.3333333333333
x5,2020,48975,semi-auto,9998,diesel,145,37.7,3.0,6,4.898479695939188
2 series,2020,26475,semi-auto,12,diesel,145,51.4,2.0,6,2206.25
3 series,2020,26490,semi-auto,14,diesel,150,60.1,2.0,6,1892.142857142857
3 series,2019,29975,manual,1254,diesel,145,54.3,2.0,7,23.903508771929825
3 series,2019,27275,manual,3377,diesel,145,54.3,2.0,7,8.076695291679005
2 series,2019,22275,manual,12,petrol,145,42.2,1.5,7,1856.25
3 series,2019,28775,semi-auto,5800,diesel,145,52.3,2.0,7,4.961206896551724
3 series,2019,24775,manual,3043,diesel,145,64.2,2.0,7,8.14163654288531
m4,2019,39275,semi-auto,8787,petrol,145,34.0,3.0,7,4.469671105041539
m4,2019,42275,semi-auto,9403,petrol,145,32.5,3.0,7,4.495905562054664
3 series,2018,24475,semi-auto,10548,petrol,145,46.3,2.0,8,2.32034508911642
3 series,2018,24790,semi-auto,12,petrol,145,48.7,2.0,8,2065.8333333333335
3 series,2018,27490,semi-auto,12,diesel,145,57.7,2.0,8,2290.8333333333335
x1,2019,25450,semi-auto,6908,petrol,145,40.9,1.5,7,3.6841343370005792
x3,2019,34440,semi-auto,11,diesel,145,54.3,2.0,7,3130.909090909091
x2,2020,22980,semi-auto,10,petrol,145,43.5,1.5,6,2298.0
3 series,2020,29990,semi-auto,9,diesel,145,51.4,2.0,6,3332.222222222222
x2,2020,34450,semi-auto,14,petrol,145,34.0,2.0,6,2460.714285714286
5 series,2020,31450,semi-auto,8,hybrid,145,60.1,2.0,6,3931.25
5 series,2020,29950,semi-auto,6,hybrid,145,49.6,2.0,6,4991.666666666667
x3,2020,39990,semi-auto,4773,diesel,150,48.7,3.0,6,8.378378378378379
3 series,2014,12475,manual,51122,diesel,30,62.8,2.0,12,0.2440240992136458
2 series,2020,26490,semi-auto,10,diesel,150,47.1,2.0,6,2649.0
4 series,2018,22275,semi-auto,18243,petrol,145,48.7,2.0,8,1.2210162802170696
2 series,2019,23775,manual,34,diesel,145,60.1,2.0,7,699.2647058823529
2 series,2019,22775,manual,10,diesel,145,51.4,2.0,7,2277.5
5 series,2019,31475,semi-auto,12,petrol,145,48.7,2.0,7,2622.9166666666665
4 series,2019,33975,semi-auto,11,diesel,145,51.4,3.0,7,3088.6363636363635
4 series,2019,24275,semi-auto,13,petrol,145,45.6,2.0,7,1867.3076923076924
4 series,2019,24275,semi-auto,12,petrol,145,45.6,2.0,7,2022.9166666666667
4 series,2019,23975,semi-auto,13,petrol,145,45.6,2.0,7,1844.2307692307693
x2,2018,28990,manual,12,diesel,145,52.3,2.0,8,2415.8333333333335
x3,2018,39650,semi-auto,12,diesel,145,54.3,2.0,8,3304.1666666666665
5 series,2019,26350,semi-auto,14345,diesel,145,65.7,2.0,7,1.836876960613454
x1,2019,25999,semi-auto,4575,diesel,145,60.1,2.0,7,5.682841530054644
x1,2019,25999,semi-auto,2974,diesel,145,60.1,2.0,7,8.742098184263618
4 series,2016,18475,semi-auto,10545,diesel,30,65.7,2.0,10,1.7520151730678046
4 series,2017,23475,semi-auto,29819,diesel,145,50.4,3.0,9,0.7872497400985948
x4,2019,40775,semi-auto,5450,petrol,145,26.9,3.0,7,7.481651376146789
m4,2019,43950,semi-auto,19,petrol,145,34.0,3.0,7,2313.157894736842
3 series,2019,23980,semi-auto,2760,diesel,145,62.8,2.0,7,8.68840579710145
1 series,2019,18450,semi-auto,5882,petrol,145,54.3,1.5,7,3.1366882012920776
x1,2019,25450,semi-auto,5863,petrol,145,46.3,1.5,7,4.340781170049462
5 series,2014,13775,semi-auto,51716,diesel,30,62.8,2.0,12,0.2663585737489365
2 series,2019,21775,semi-auto,10570,petrol,145,47.9,2.0,7,2.0600756859035005
5 series,2015,17970,semi-auto,29060,diesel,145,53.3,3.0,11,0.6183757742601514
2 series,2019,21775,semi-auto,8878,petrol,145,47.9,2.0,7,2.452692047758504
x1,2018,21975,semi-auto,16719,diesel,145,60.1,2.0,8,1.314372869190741
x1,2017,20975,semi-auto,14063,petrol,160,44.8,2.0,9,1.4915025243546896
3 series,2020,29990,semi-auto,12,petrol,150,41.5,2.0,6,2499.1666666666665
3 series,2020,23990,manual,5,diesel,145,56.5,2.0,6,4798.0
5 series,2020,43990,semi-auto,10,petrol,145,39.2,3.0,6,4399.0
3 series,2020,23850,semi-auto,23,petrol,145,42.2,2.0,6,1036.9565217391305
x3,2019,47440,semi-auto,6570,petrol,145,34.5,3.0,7,7.220700152207002
3 series,2015,16799,semi-auto,35365,diesel,145,57.6,2.0,11,0.4750176728403789
3 series,2015,13275,manual,61062,diesel,125,60.1,2.0,11,0.21740198486783924
3 series,2017,21275,semi-auto,14714,diesel,160,51.4,3.0,9,1.445901862172081
3 series,2015,13975,manual,41655,diesel,30,64.2,2.0,11,0.3354939383027248
x6,2016,29890,semi-auto,27838,diesel,200,47.1,3.0,10,1.0737121919678139
1 series,2018,17975,manual,12800,diesel,145,50.4,1.5,8,1.404296875
3 series,2020,23990,manual,16,diesel,145,56.5,2.0,6,1499.375
3 series,2020,24850,semi-auto,10,diesel,145,52.3,2.0,6,2485.0
4 series,2014,16475,semi-auto,17500,petrol,160,44.8,2.0,12,0.9414285714285714
x2,2020,30990,semi-auto,10,petrol,145,42.8,1.5,6,3099.0
4 series,2020,38990,semi-auto,9,diesel,145,47.9,3.0,6,4332.222222222223
5 series,2020,36990,semi-auto,10,diesel,145,60.1,3.0,6,3699.0
5 series,2020,32850,semi-auto,12,hybrid,145,62.8,2.0,6,2737.5
6 series,2016,21975,semi-auto,28684,diesel,160,51.4,3.0,10,0.7661065402314879
1 series,2019,18999,semi-auto,12011,diesel,145,65.7,2.0,7,1.5818000166514028
3 series,2019,28950,semi-auto,5367,diesel,145,52.3,2.0,7,5.394074902179989
1 series,2018,16775,manual,10842,diesel,145,65.7,2.0,8,1.5472237594539753
x5,2019,46950,semi-auto,8105,diesel,145,37.7,3.0,7,5.792720542874768
4 series,2019,23750,semi-auto,9,diesel,145,65.7,2.0,7,2638.8888888888887
4 series,2018,21975,semi-auto,18165,petrol,145,48.7,2.0,8,1.2097440132122212
5 series,2019,27875,semi-auto,3905,diesel,145,55.4,2.0,7,7.138284250960307
3 series,2015,20440,semi-auto,39000,petrol,200,41.5,3.0,11,0.5241025641025641
7 series,2019,47975,semi-auto,1075,diesel,145,41.5,3.0,7,44.627906976744185
5 series,2019,27998,semi-auto,6865,diesel,145,60.1,2.0,7,4.07836853605244
1 series,2019,19498,semi-auto,11602,diesel,145,67.3,2.0,7,1.6805723151180831
3 series,2017,15498,semi-auto,43678,diesel,150,60.1,2.0,9,0.35482393882503777
3 series,2015,16410,automatic,35219,diesel,145,56.5,3.0,11,0.4659416792072461
x6,2013,20510,semi-auto,63592,diesel,325,36.7,3.0,13,0.3225248458925651
7 series,2014,13600,automatic,78094,diesel,160,50.4,3.0,12,0.17414910236381798
2 series,2017,13991,manual,36045,diesel,0,74.3,1.5,9,0.388153696767929
1 series,2014,12111,semi-auto,57617,diesel,125,60.1,2.0,12,0.21019837895065693
3 series,2016,15030,semi-auto,43482,diesel,30,64.2,2.0,10,0.3456602732165034
3 series,2017,12791,manual,37676,diesel,30,64.2,2.0,9,0.3394999469158085
5 series,2018,26691,automatic,28869,petrol,145,37.7,3.0,8,0.9245557518445391
4 series,2016,17999,manual,30055,diesel,145,55.4,2.0,10,0.598868740642156
x1,2013,10995,manual,26642,petrol,200,40.9,2.0,13,0.41269424217401096
3 series,2019,31880,semi-auto,5185,diesel,145,44.1,3.0,7,6.148505303760849
3 series,2016,20480,semi-auto,22834,diesel,160,51.4,3.0,10,0.8969081194709644
x5,2016,24980,automatic,68854,diesel,200,47.1,3.0,10,0.36279664217038954
3 series,2013,10480,manual,36494,diesel,20,68.9,2.0,13,0.2871704937797994
3 series,2017,19490,semi-auto,41816,diesel,145,64.2,2.0,9,0.46608953510617945
x3,2018,33980,semi-auto,18327,diesel,145,48.7,3.0,8,1.8540950510176242
x3,2019,29480,automatic,7164,diesel,145,56.5,2.0,7,4.1150195421552205
x3,2016,22980,semi-auto,46389,diesel,145,54.3,2.0,10,0.49537605897949943
x1,2017,20980,semi-auto,16717,diesel,145,60.1,2.0,9,1.25500987019202
3 series,2019,30990,semi-auto,1204,diesel,145,49.6,2.0,7,25.739202657807308
3 series,2019,27480,semi-auto,11103,diesel,145,52.3,2.0,7,2.4750067549311
4 series,2019,24250,semi-auto,110,diesel,145,60.1,2.0,7,220.45454545454547
2 series,2019,19975,semi-auto,9503,diesel,145,49.6,2.0,7,2.1019677996422184
5 series,2019,25990,semi-auto,11114,diesel,145,65.7,2.0,7,2.3384919920820586
3 series,2016,12480,manual,51379,diesel,20,68.9,2.0,10,0.24290079604507678
x4,2019,41980,semi-auto,6747,petrol,145,26.9,3.0,7,6.222024603527494
4 series,2019,26990,semi-auto,8722,diesel,145,53.3,3.0,7,3.0944737445540014
2 series,2019,19880,automatic,8556,diesel,145,52.3,2.0,7,2.323515661524077
2 series,2019,19980,semi-auto,11362,petrol,145,40.9,1.5,7,1.7584932230241155
x1,2020,25980,semi-auto,19,diesel,145,60.1,2.0,6,1367.3684210526317
z4,2020,29980,semi-auto,10,petrol,145,38.7,2.0,6,2998.0
1 series,2019,21490,automatic,7314,diesel,145,65.7,2.0,7,2.938200710965272
2 series,2019,22480,manual,6521,diesel,145,60.1,2.0,7,3.44732403005674
3 series,2019,27480,semi-auto,5090,petrol,145,45.6,2.0,7,5.398821218074656
5 series,2019,26480,semi-auto,8601,petrol,145,50.4,2.0,7,3.0787117777002675
4 series,2019,24980,semi-auto,6917,diesel,145,65.7,2.0,7,3.6113922220615873
3 series,2019,26990,semi-auto,7264,diesel,145,48.7,2.0,7,3.7155837004405288
3 series,2019,27890,semi-auto,1984,diesel,145,48.7,2.0,7,14.057459677419354
x1,2019,24550,manual,3228,petrol,145,51.4,1.5,7,7.6053283767038415
x5,2018,44990,semi-auto,5321,diesel,145,36.7,3.0,8,8.455177598195828
5 series,2019,27780,semi-auto,12182,diesel,145,65.7,2.0,7,2.2804137251682812
1 series,2017,18290,manual,21491,petrol,260,36.2,3.0,9,0.8510539295519054
2 series,2019,22990,semi-auto,682,petrol,145,47.9,2.0,7,33.70967741935484
1 series,2020,21450,manual,1905,petrol,145,44.1,1.5,6,11.259842519685039
x4,2019,41850,automatic,5789,petrol,145,26.9,3.0,7,7.229227845914666
3 series,2019,37980,semi-auto,3766,petrol,145,34.9,3.0,7,10.084970791290495
3 series,2019,27980,semi-auto,5023,petrol,145,45.6,2.0,7,5.570376269161856
3 series,2019,37980,semi-auto,5470,petrol,145,34.9,3.0,7,6.943327239488117
3 series,2019,24450,manual,3378,diesel,145,64.2,2.0,7,7.238010657193605
3 series,2019,24450,manual,2912,diesel,145,64.2,2.0,7,8.396291208791208
3 series,2019,23990,manual,4710,diesel,145,54.3,2.0,7,5.0934182590233545
3 series,2019,26440,manual,102,diesel,145,54.3,2.0,7,259.2156862745098
x2,2019,24990,semi-auto,1702,diesel,145,47.9,2.0,7,14.682726204465334
x2,2019,26790,manual,103,diesel,145,53.3,2.0,7,260.09708737864077
2 series,2019,20990,semi-auto,1290,petrol,145,50.4,1.5,7,16.271317829457363
x3,2019,41450,semi-auto,5651,diesel,145,36.7,3.0,7,7.33498495841444
3 series,2018,23890,semi-auto,17240,diesel,145,51.4,3.0,8,1.3857308584686774
3 series,2019,24450,manual,3973,diesel,145,64.2,2.0,7,6.15403976843695
3 series,2019,24980,semi-auto,6941,petrol,145,42.2,2.0,7,3.5989050569082264
1 series,2016,11980,automatic,41081,diesel,0,74.3,2.0,10,0.2916189966164407
x1,2019,24480,semi-auto,7895,petrol,145,40.9,1.5,7,3.1006966434452186
1 series,2016,15480,automatic,28883,diesel,20,67.3,2.0,10,0.53595540629436
4 series,2019,25980,automatic,5577,diesel,145,55.4,3.0,7,4.65841850457235
1 series,2019,19980,automatic,11303,diesel,145,48.7,2.0,7,1.7676722993895426
4 series,2019,22450,manual,115,petrol,145,46.3,2.0,7,195.2173913043478
4 series,2019,24450,semi-auto,8128,diesel,145,65.7,2.0,7,3.0081200787401574
2 series,2018,16890,semi-auto,21688,diesel,145,56.5,1.5,8,0.7787716709701217
2 series,2019,23450,semi-auto,9683,diesel,145,57.7,2.0,7,2.421770112568419
7 series,2019,52990,semi-auto,4884,diesel,145,41.5,3.0,7,10.84971334971335
x1,2019,24550,manual,4957,petrol,145,51.4,1.5,7,4.952592293726044
5 series,2019,34990,semi-auto,101,diesel,145,53.3,3.0,7,346.43564356435644
1 series,2019,20875,semi-auto,4834,diesel,145,67.3,2.0,7,4.318369880016549
1 series,2020,23450,manual,1524,petrol,145,44.1,1.5,6,15.38713910761155
1 series,2020,25890,manual,1182,diesel,145,53.3,2.0,6,21.903553299492387
2 series,2016,13480,manual,16600,diesel,20,68.9,2.0,10,0.8120481927710843
4 series,2019,32880,automatic,5000,petrol,145,41.5,3.0,7,6.576
3 series,2019,25350,semi-auto,22095,diesel,145,52.3,2.0,7,1.1473183978275627
3 series,2019,33875,semi-auto,9389,diesel,145,49.6,2.0,7,3.607945468100969
2 series,2019,21945,semi-auto,9408,petrol,145,47.9,2.0,7,2.3325892857142856
1 series,2019,17980,manual,6756,diesel,145,65.7,2.0,7,2.6613380698638247
1 series,2019,18975,manual,5650,diesel,145,65.7,2.0,7,3.3584070796460175
1 series,2019,19875,semi-auto,7044,diesel,145,67.3,2.0,7,2.8215502555366268
1 series,2019,19475,manual,4168,petrol,145,52.3,1.5,7,4.672504798464491
1 series,2019,18990,manual,3423,diesel,145,70.6,1.5,7,5.547765118317265
1 series,2020,23450,manual,1054,petrol,145,41.5,1.5,6,22.248576850094878
4 series,2020,30990,semi-auto,110,petrol,145,41.5,3.0,6,281.72727272727275
1 series,2017,13980,manual,19484,diesel,145,72.4,1.5,9,0.7175118045575857
1 series,2019,19975,manual,5303,diesel,145,65.7,2.0,7,3.766735809918914
1 series,2019,18675,manual,3382,diesel,145,70.6,1.5,7,5.5218805440567715
1 series,2019,17480,manual,5230,diesel,145,68.9,2.0,7,3.3422562141491396
3 series,2019,28980,automatic,6129,diesel,145,50.4,2.0,7,4.72834067547724
1 series,2016,13980,semi-auto,17533,petrol,30,58.9,1.5,10,0.7973535618547881
2 series,2019,21980,manual,8494,diesel,145,64.2,2.0,7,2.58770897103838
x2,2018,19240,manual,18440,diesel,145,55.4,2.0,8,1.0433839479392624
3 series,2014,13980,manual,16376,diesel,30,62.8,2.0,12,0.8536883243771373
5 series,2019,33980,automatic,6000,diesel,145,53.3,3.0,7,5.663333333333333
3 series,2019,27980,automatic,5000,diesel,145,52.3,2.0,7,5.596
7 series,2016,35480,automatic,8814,petrol,300,35.3,4.4,10,4.025414113909689
2 series,2019,23480,semi-auto,112,petrol,145,47.9,2.0,7,209.64285714285714
5 series,2019,31875,semi-auto,114,petrol,145,48.7,2.0,7,279.60526315789474
1 series,2019,20875,semi-auto,5954,diesel,145,67.3,2.0,7,3.5060463553913337
4 series,2019,33890,semi-auto,10,diesel,145,51.4,3.0,7,3389.0
4 series,2019,33880,automatic,11,diesel,145,51.4,3.0,7,3080.0
4 series,2019,23990,semi-auto,120,diesel,145,60.1,2.0,7,199.91666666666666
2 series,2019,21480,semi-auto,11,petrol,145,50.4,1.5,7,1952.7272727272727
x4,2019,35480,semi-auto,10755,diesel,145,42.8,2.0,7,3.298930729893073
3 series,2019,24690,semi-auto,5246,petrol,145,47.9,2.0,7,4.706443004193671
3 series,2019,23980,semi-auto,1051,petrol,145,47.9,2.0,7,22.816365366317793
3 series,2019,23980,semi-auto,2480,petrol,145,47.9,2.0,7,9.669354838709678
2 series,2017,16698,automatic,27201,diesel,145,64.2,2.0,9,0.6138744899084593
1 series,2014,13798,manual,50026,petrol,305,35.3,3.0,12,0.275816575380802
2 series,2019,20750,manual,110,petrol,145,52.3,1.5,7,188.63636363636363
2 series,2019,20450,manual,10,petrol,145,42.8,1.5,7,2045.0
3 series,2014,11698,manual,21798,diesel,20,68.9,2.0,12,0.5366547389668777
3 series,2016,18998,semi-auto,33087,diesel,160,51.4,3.0,10,0.5741832139510986
2 series,2017,14998,semi-auto,38576,diesel,145,68.9,1.5,9,0.3887909581086686
1 series,2017,21498,semi-auto,18836,petrol,150,39.8,3.0,9,1.1413251221066043
7 series,2017,30998,semi-auto,22879,petrol,205,40.4,3.0,9,1.354866908518729
1 series,2016,18498,semi-auto,38964,petrol,205,39.8,3.0,10,0.47474591931013244
3 series,2019,24998,semi-auto,11904,diesel,145,60.1,2.0,7,2.0999663978494625
1 series,2019,19998,semi-auto,7222,petrol,150,47.9,2.0,7,2.769039047355303
3 series,2019,24450,semi-auto,8196,diesel,145,62.8,2.0,7,2.9831625183016106
3 series,2019,22990,manual,1122,diesel,145,60.1,2.0,7,20.49019607843137
4 series,2019,27990,semi-auto,9529,diesel,145,60.1,2.0,7,2.9373491447161295
3 series,2019,28450,semi-auto,1951,diesel,145,52.3,2.0,7,14.582265504869298
4 series,2019,25490,semi-auto,3516,petrol,145,48.7,2.0,7,7.24971558589306
5 series,2019,33890,semi-auto,2096,diesel,145,53.3,3.0,7,16.168893129770993
4 series,2019,26450,semi-auto,2924,petrol,145,48.7,2.0,7,9.045827633378932
m4,2019,39990,semi-auto,7603,petrol,145,32.5,3.0,7,5.259765881888728
4 series,2019,24975,semi-auto,11324,diesel,145,65.7,2.0,7,2.2054927587424937
5 series,2019,26790,semi-auto,10389,diesel,145,65.7,2.0,7,2.5786889979786314
5 series,2019,26350,semi-auto,11301,diesel,145,65.7,2.0,7,2.3316520661888327
x1,2019,25450,semi-auto,7549,petrol,145,40.9,1.5,7,3.371307457941449
1 series,2017,13995,semi-auto,39714,diesel,145,67.3,2.0,9,0.3523946215440399
2 series,2019,21590,semi-auto,10199,petrol,145,47.9,2.0,7,2.11687420335327
1 series,2017,16480,manual,21344,diesel,145,62.8,2.0,9,0.7721139430284858
x1,2019,21480,semi-auto,7970,petrol,145,46.3,1.5,7,2.695106649937265
1 series,2020,23450,manual,2400,petrol,145,44.1,1.5,6,9.770833333333334
1 series,2014,12991,manual,71301,petrol,300,35.3,3.0,12,0.1821994081429433
4 series,2014,11991,manual,50757,petrol,165,46.3,2.0,12,0.23624327678940835
3 series,2014,13950,automatic,31098,diesel,30,62.8,2.0,12,0.448581902373143
5 series,2019,23775,semi-auto,4447,petrol,145,50.4,2.0,7,5.346300876995728
1 series,2019,18875,semi-auto,2406,diesel,145,68.9,1.5,7,7.844970906068163
x4,2018,43990,semi-auto,12,diesel,145,42.8,2.0,8,3665.8333333333335
3 series,2019,24440,semi-auto,12,diesel,145,64.2,2.0,7,2036.6666666666667
3 series,2019,24440,semi-auto,12,diesel,145,60.1,2.0,7,2036.6666666666667
1 series,2019,29790,semi-auto,12,petrol,145,39.8,3.0,7,2482.5
1 series,2019,29880,semi-auto,12,petrol,145,39.8,3.0,7,2490.0
5 series,2018,30990,semi-auto,12,diesel,145,49.6,2.0,8,2582.5
1 series,2019,15980,manual,8359,diesel,145,72.4,1.5,7,1.9117119272640268
2 series,2019,29975,semi-auto,8027,petrol,145,38.2,3.0,7,3.734271832565093
4 series,2019,23775,manual,8293,diesel,145,62.8,2.0,7,2.8668756782828893
5 series,2019,31775,semi-auto,579,diesel,145,60.1,2.0,7,54.87910189982729
z4,2019,34980,semi-auto,8004,petrol,145,37.2,2.0,7,4.37031484257871
5 series,2019,26790,semi-auto,6110,diesel,145,65.7,2.0,7,4.384615384615385
x1,2018,21980,semi-auto,10708,diesel,145,60.1,2.0,8,2.0526709002614867
3 series,2020,32990,semi-auto,1125,diesel,145,50.4,2.0,6,29.324444444444445
7 series,2019,48995,semi-auto,7315,diesel,145,42.2,3.0,7,6.697881066302119
3 series,2019,27450,semi-auto,6038,petrol,145,42.2,2.0,7,4.546207353428287
x3,2019,33990,semi-auto,2538,diesel,145,54.3,2.0,7,13.39243498817967
3 series,2019,17480,semi-auto,20671,petrol,150,51.4,1.5,7,0.8456291422766194
3 series,2019,17480,semi-auto,22539,petrol,150,51.4,1.5,7,0.7755446115621811
3 series,2019,21590,semi-auto,20000,petrol,150,47.9,2.0,7,1.0795
3 series,2019,21590,semi-auto,23000,petrol,150,44.8,2.0,7,0.938695652173913
1 series,2020,23590,manual,1104,diesel,145,53.3,2.0,6,21.367753623188406
x1,2017,20450,semi-auto,25725,diesel,145,55.4,2.0,9,0.7949465500485908
m2,2019,44990,semi-auto,4358,petrol,145,29.1,3.0,7,10.323542909591556
3 series,2019,23990,semi-auto,8389,petrol,145,47.9,2.0,7,2.8596972225533435
3 series,2016,13890,semi-auto,45252,diesel,30,65.7,2.0,10,0.30694775921506234
x5,2019,46990,semi-auto,2754,diesel,145,37.7,3.0,7,17.06245461147422
4 series,2019,24450,semi-auto,10831,diesel,145,65.7,2.0,7,2.257409288154372
m4,2015,27590,manual,27489,petrol,325,31.0,3.0,11,1.003674196951508
2 series,2014,11990,semi-auto,35000,diesel,30,65.7,2.0,12,0.3425714285714286
x3,2017,17380,semi-auto,64648,diesel,145,54.3,2.0,9,0.2688404900383616
2 series,2018,20380,semi-auto,4172,petrol,145,47.9,2.0,8,4.884947267497603
3 series,2019,21590,semi-auto,26000,petrol,150,47.9,2.0,7,0.8303846153846154
3 series,2019,21590,semi-auto,23000,petrol,150,47.9,2.0,7,0.938695652173913
3 series,2019,21590,semi-auto,27000,petrol,150,47.9,2.0,7,0.7996296296296296
4 series,2019,19890,semi-auto,22000,petrol,150,48.7,2.0,7,0.9040909090909091
4 series,2018,20590,semi-auto,17000,petrol,150,48.7,2.0,8,1.2111764705882353
3 series,2019,26480,semi-auto,6012,diesel,150,52.3,2.0,7,4.404524284763806
3 series,2019,25900,semi-auto,6486,petrol,150,42.2,2.0,7,3.9932161578785075
x1,2013,10295,semi-auto,63993,diesel,160,52.3,2.0,13,0.16087697091869424
4 series,2015,15995,automatic,47822,diesel,30,65.7,2.0,11,0.3344694910292334
x1,2016,17998,semi-auto,34813,diesel,145,55.4,2.0,10,0.5169907793065809
1 series,2017,21498,semi-auto,25630,petrol,145,39.8,3.0,9,0.8387826765509169
6 series,2019,35980,semi-auto,8004,diesel,145,47.9,3.0,7,4.495252373813093
x3,2019,35980,semi-auto,8088,diesel,145,54.3,2.0,7,4.448565776458952
5 series,2018,26220,semi-auto,19504,diesel,145,46.3,2.0,8,1.3443396226415094
2 series,2020,28993,semi-auto,500,diesel,145,67.3,2.0,6,57.986
x2,2020,29993,semi-auto,500,petrol,145,38.7,2.0,6,59.986
1 series,2019,20980,manual,2985,petrol,150,44.1,1.5,7,7.028475711892797
1 series,2019,20980,manual,6553,petrol,150,44.1,1.5,7,3.201587059362124
2 series,2017,12900,manual,47301,diesel,20,74.3,1.5,9,0.2727215069448849
x1,2017,14600,manual,39460,diesel,150,68.9,2.0,9,0.3699949315762798
x1,2017,14600,manual,41334,diesel,20,68.9,2.0,9,0.35322010935307496
x3,2019,29980,semi-auto,6231,diesel,145,54.3,2.0,7,4.8114267372813355
1 series,2019,15940,manual,7913,petrol,145,53.3,1.5,7,2.0144066725641347
4 series,2019,31480,semi-auto,7217,diesel,145,47.9,3.0,7,4.361923236801995
1 series,2015,16491,manual,27411,petrol,305,35.3,3.0,11,0.6016197876764803
x2,2019,30700,semi-auto,14352,petrol,150,34.0,2.0,7,2.1390746934225193
3 series,2017,20999,semi-auto,27500,diesel,145,56.5,3.0,9,0.7636
2 series,2020,32993,semi-auto,500,diesel,145,47.1,2.0,6,65.986
x3,2020,39993,semi-auto,500,diesel,145,54.3,2.0,6,79.986
